"dur","start_time","mouse_trace_x","mouse_trace_y","interruptedResponse","pixperrefresh","refreshRate","angle","side","start_position","splitTime","fixTime","speed","subjectID","test_part","trialID","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response"
"2001.8999999761581","7429.100000023842","[431,432,436,440,445,454,464,472,484,498,516,538,561,585,606,618,629,637,655,666,680,696,712,735,754,774,791,804,817,828,838,848,856,867,876,890,903,925,942,958,977,989,1002,1015,1028,1045,1062,1079,1098,1126,1149,1163,1167,1169,1169,1169,1169,1169,1169]","[469,469,469,469,469,469,469,469,469,470,472,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,472,471,469,468,468,468,468,469,470,471,471,471,468,466,464,463,463,465,465,465,465,465]","false","13.167000000000002","33","315","l","-300","976.2865734098609","0","399","AB","trial","7","manual-tracking","0","9381","0.0-0.0-0.0","","",""
"","","","","","","","","","","","","","","feedback","","html-button-response","1","10885","0.0-0.0-1.0","null","<p>Well done.</p>","null"
"2001.1999999284744","12144.200000047684","[1045,1045,1045,1044,1040,1030,1015,999,970,947,923,900,878,861,845,831,821,813,804,795,784,771,754,738,724,699,683,658,641,626,609,592,576,557,543,530,517,503,489,476,465,455,444,435,427,419,409,394,381,367,354,335,317,302,295,293,293,293,293]","[469,469,469,469,469,469,469,469,472,476,482,487,491,493,494,494,494,494,491,488,483,480,477,475,474,472,470,469,469,468,468,468,468,468,468,469,469,470,471,472,473,474,474,474,474,474,474,475,475,476,477,479,480,482,484,484,484,484,484]","false","13.167000000000002","33","90","r","300","813.4207443238477","0","399","AB","trial","26","manual-tracking","2","14095","0.0-0.0-0.1","","",""
"","","","","","","","","","","","","","","feedback","","html-button-response","3","15598","0.0-0.0-1.1","null","<p>Well done.</p>","null"
"2001.5999999046326","17227.700000047684","[437,437,437,439,443,452,460,477,486,491,508,515,536,552,569,590,617,638,660,680,697,710,723,734,743,753,761,770,782,795,810,826,844,861,876,888,896,909,924,941,962,987,1015,1034,1051,1065,1077,1091,1104,1120,1138,1164,1191,1208,1218,1220,1221,1221,1221]","[469,469,469,469,469,469,469,467,467,467,466,466,466,466,466,466,466,466,466,467,467,468,468,468,468,469,469,469,469,469,469,469,470,470,472,472,472,472,472,472,471,470,469,469,469,469,469,469,469,469,469,469,470,470,470,469,468,468,468]","false","13.167000000000002","33","135","l","-300","888.6096109282989","0","399","AB","trial","19","manual-tracking","4","19179","0.0-0.0-0.2","","",""
"","","","","","","","","","","","","","","feedback","","html-button-response","5","20683","0.0-0.0-1.2","null","<p>Well done.</p>","null"
"2001.1999999284744","22877.100000023842","[1038,1035,1034,1033,1029,1024,1017,1008,992,971,948,927,912,899,889,881,874,865,854,831,812,791,773,756,745,735,726,719,713,706,697,685,671,655,636,614,597,582,568,551,540,529,517,505,491,471,459,446,432,416,401,386,368,357,345,332,316,301,291]","[474,474,474,474,474,474,474,474,474,477,481,483,484,484,484,484,483,481,480,478,476,474,472,470,469,468,468,468,468,468,468,469,471,472,474,475,475,475,475,475,474,472,471,469,467,465,465,465,464,464,464,464,464,464,464,464,465,468,471]","false","13.167000000000002","33","0","r","300","1069.0603519460137","0","399","AB","trial","40","manual-tracking","6","24827","0.0-0.0-0.3","","",""
"","","","","","","","","","","","","","","feedback","","html-button-response","7","26329","0.0-0.0-1.3","null","<p>Well done.</p>","null"
"2001.9000000953674","28494.799999952316","[1036,1035,1030,1022,1018,1014,1008,1002,990,972,946,921,905,894,885,873,864,855,846,835,825,813,801,791,783,773,761,747,727,709,691,673,658,642,626,611,597,584,558,554,534,522,509,491,473,456,441,420,405,390,372,353,342,335,332,331,331,331,331]","[464,464,464,464,464,464,464,464,463,463,463,466,467,467,467,467,467,467,466,465,463,463,463,463,462,461,461,462,465,468,469,470,470,470,470,470,469,468,468,468,468,465,463,460,459,457,456,455,455,455,455,455,457,459,460,460,460,463,463]","false","13.167000000000002","33","225","r","300","1052.844769922602","0","399","AB","trial","61","manual-tracking","8","30446","0.0-0.0-0.4","","",""
"","","","","","","","","","","","","","","feedback","","html-button-response","9","31949","0.0-0.0-1.4","null","<p>Well done.</p>","null"
"2002.6000000238419","33828.10000002384","[1043,1041,1034,1023,1004,991,979,967,954,942,931,921,912,900,889,875,854,839,824,810,798,784,771,762,754,744,734,720,704,685,668,649,635,623,611,600,584,572,557,538,522,510,498,487,479,469,459,449,443,442,441,440,439,439,439,439,439,439,439]","[464,464,464,464,464,464,464,464,464,464,464,463,463,462,462,462,462,461,460,459,457,457,457,457,458,458,460,461,464,467,470,473,475,476,477,477,477,477,477,477,476,475,473,471,470,470,470,470,470,470,470,470,470,470,472,472,472,472,472]","false","13.167000000000002","33","315","r","300","1198.1062494751795","0","399","AB","trial","31","manual-tracking","10","35779","0.0-0.0-0.5","","",""
"","","","","","","","","","","","","","","feedback","","html-button-response","11","37281","0.0-0.0-1.5","null","<p>Well done.</p>","null"
